key,666320-667777,667777-670657,670657-673537,673537-676417,676417-679297,679297-682177,682177-685057,685057-687937,687937-690817,690817-693697,693697-696577,696577-699457,699457-702337,702337-705217,705217-708097,708097-710977,710977-713857,713857-716737,716737-719617,719617-722497,722497-725377,725377-728257,728257-731137,731137-734017,734017-736897,736897-739777,739777-742657,742657-745537,745537-748417,748417-751297,751297-754177,754177-757057,757057-759937,759937-762817,762817-765697,765697-768577,768577-771457,771457-774337,774337-777217,777217-780097,780097-782977,782977-785857,785857-788737,788737-791617,791617-794497,794497-797377,797377-800257,800257-803137,803137-806017,806017-808897,808897-811777,811777-814657,814657-817537,817537-820417,820417-823297,823297-826177,826177-829057,829057-831937,831937-834817,834817-837697,837697-840577,840577-843457,843457-846337,846337-849217,849217-852097,852097-854977,854977-857857,857857-860737,860737-863617,863617-866497,866497-869377,869377-872257,872257-875137,875137-878017,878017-880897,880897-883777,883777-886657,886657-889537,889537-892417,892417-895297,895297-898177,898177-901057,901057-903937,903937-906817,906817-909697,909697-912577,912577-915457,915457-918337,918337-921217,921217-924097,924097-926977,926977-929857,929857-932737,932737-935617,935617-938497,938497-941377,941377-944257,944257-947137,947137-950017,950017-952897,952897-955777,955777-958657,958657-961537,961537-964417,964417-967297,967297-970177,970177-973057,973057-975937,975937-978817,978817-981697,981697-984577,984577-987457,987457-990337,990337-993217,993217-996097,996097-998977,998977-1001857,1001857-1004737,1004737-1007617,1007617-1010497,1010497-1013377,1013377-1016257,1016257-1019137,1019137-1022017,1022017-1024897,1024897-1027777,1027777-1030657,1030657-1033537,1033537-1036417,1036417-1039297,1039297-1042177,1042177-1045057,1045057-1047937,1047937-1050817,1050817-1053697,1053697-1056577,1056577-1059457,1059457-1062337,1062337-1065217,1065217-1068097,1068097-1070977,1070977-1073857,1073857-1076737,1076737-1079617,1079617-1082497,1082497-1085377,1085377-1088257,1088257-1091137,1091137-1094017,1094017-1096897,1096897-1099777,1099777-1102657,1102657-1105537,1105537-1108417,1108417-1111297,1111297-1114177,1114177-1117057,1117057-1119937,1119937-1122817,1122817-1125697,1125697-1128577,1128577-1131457,1131457-1134337,1134337-1137217,1137217-1140097,1140097-1142977,1142977-1145857,1145857-1148737,1148737-1151617,1151617-1154497,1154497-1157377,1157377-1160257,1160257-1163137,1163137-1166017,1166017-1168897,1168897-1171777,1171777-1174657,1174657-1177537,1177537-1180417,1180417-1183297,1183297-1186177,1186177-1189057,1189057-1191937,1191937-1194817,1194817-1197697,1197697-1200577,1200577-1203457,1203457-1206337,1206337-1209217,1209217-1212097,1212097-1214977,1214977-1217857,1217857-1220737,1220737-1223617,1223617-1226497,1226497-1229377,1229377-1232257,1232257-1235137,1235137-1238017,1238017-1240897,1240897-1243777,1243777-1246657,1246657-1249537,1249537-1252417,1252417-1255297,1255297-1258177,1258177-1261057,1261057-1263937
0082648affdfa579db115548a5b69f083e65d860bb4bf52f8b3801af9b04cd2f,0,4,3,4,5,2,0,1,2,3,2,4,1,2,1,2,2,2,2,4,1,2,4,2,1,1,3,4,0,3,2,3,2,2,3,3,3,2,3,8,0,4,2,2,2,3,4,1,0,4,1,4,4,2,3,2,4,1,4,2,0,2,3,4,5,1,0,1,2,0,4,3,4,2,2,4,0,2,4,1,1,3,3,6,4,1,2,3,1,2,1,3,0,4,3,3,3,2,4,2,4,0,4,2,0,3,1,1,1,0,4,3,5,3,1,1,3,4,4,2,4,3,4,3,2,8,2,4,4,4,1,3,2,2,1,3,2,0,3,0,3,0,3,2,1,2,0,2,2,4,0,2,1,2,4,0,4,3,2,2,2,0,1,2,5,1,3,0,3,4,2,4,1,3,1,5,3,1,2,0,2,5,4,1,1,5,3,3,4,2,3,2,4,5,5,2,3,2,4,0,2,2,1,5,6,2,2,2
008d0019e827343803ad7c97a83f868a6310c1339dfeec0cf2752ce53977df63,3,2,7,3,3,1,3,0,2,1,2,0,4,3,3,3,2,2,1,2,1,2,2,0,1,2,1,1,4,1,1,5,1,2,2,8,1,3,4,1,2,3,4,3,1,5,6,2,1,4,3,4,2,0,1,0,1,1,1,1,1,4,6,5,2,3,1,1,3,2,4,1,0,2,0,3,2,1,1,5,0,2,1,2,1,0,3,1,5,2,1,3,4,3,2,1,1,4,2,4,1,2,5,0,2,2,3,2,3,2,3,3,0,2,5,3,4,2,1,1,3,4,1,3,3,7,4,2,4,1,1,3,3,3,5,2,2,1,6,4,1,1,1,0,2,4,2,4,1,3,4,3,1,4,5,1,3,2,3,4,2,3,5,1,4,2,3,2,2,0,2,3,3,1,3,5,1,1,1,2,2,2,1,3,2,0,4,1,4,4,1,1,0,2,1,2,2,3,2,1,3,3,3,3,0,2,4,0
0090afd497d10ebfe74e0f1b25c252af08637aaebfba3ce78c4e034c05a0ba11,2,3,4,2,2,5,4,0,2,3,2,1,4,0,2,6,1,1,3,2,3,1,1,1,1,3,3,1,6,2,2,3,3,3,2,0,2,2,4,4,0,2,2,3,2,2,6,0,6,2,5,4,3,3,0,6,1,1,3,2,4,3,3,4,6,3,3,3,3,2,1,1,0,3,3,3,2,4,2,0,0,3,2,0,0,4,1,1,3,0,4,3,3,2,5,4,2,2,2,0,4,1,2,4,3,2,7,9,4,5,3,2,0,1,3,7,4,4,0,2,3,3,3,3,3,1,1,2,2,4,1,5,1,2,5,3,5,1,1,1,2,2,1,3,4,1,2,2,0,3,1,3,1,3,3,4,3,4,4,3,1,3,1,2,5,3,3,0,4,2,5,3,2,2,2,4,3,2,3,1,5,2,3,2,4,5,1,1,0,2,3,2,1,2,4,2,3,2,1,3,5,3,2,1,1,0,0,2
0098e741627f91985c7dd000bbe403475387a7ac4001ff027fa35eefd29ab30b,0,4,4,2,3,3,6,3,2,1,3,4,0,1,5,4,1,3,2,0,5,5,2,1,3,2,2,3,5,2,2,1,0,1,1,1,1,1,4,2,0,1,2,1,2,3,4,3,2,2,1,1,0,1,5,4,7,4,6,3,1,5,1,1,4,4,1,2,0,1,3,3,1,2,5,7,8,1,0,4,2,2,2,3,7,2,3,4,4,3,7,1,3,4,6,1,4,3,4,2,5,2,3,4,4,4,0,1,1,4,1,4,1,4,3,2,2,3,4,2,1,1,2,3,3,2,2,1,1,0,6,1,5,3,1,3,3,1,0,2,4,1,3,0,4,3,6,3,2,4,2,5,1,2,2,1,1,1,0,2,3,4,1,2,2,3,0,4,1,1,2,1,3,1,4,4,0,0,2,1,2,0,3,2,2,4,2,3,1,4,1,4,3,4,5,0,6,4,1,1,1,4,2,3,3,4,3,4
00af18b37f6ca50924448be5a2ff35f22e2ba13ca47111f1581c6a5b57fe370e,1,0,2,2,1,2,2,2,3,0,1,2,2,4,4,0,2,2,6,0,0,1,4,4,6,2,1,5,2,2,1,1,4,1,2,5,2,2,3,5,3,3,4,6,4,7,1,3,2,1,5,4,5,2,1,2,5,1,1,3,1,2,4,3,3,4,2,2,2,1,7,1,1,3,1,4,4,3,5,3,3,4,1,1,2,2,4,1,1,3,3,3,1,6,4,1,4,0,3,2,1,2,3,3,5,1,2,1,1,1,3,3,2,3,2,0,2,3,7,3,6,1,6,7,2,3,0,3,1,3,3,6,2,1,2,2,0,1,4,3,2,3,1,0,2,6,5,2,3,2,3,2,1,3,3,1,2,2,3,1,3,4,3,4,2,1,0,5,4,1,3,0,4,2,9,6,2,1,0,3,1,3,1,4,4,1,4,4,2,4,4,3,3,2,3,8,4,2,4,1,0,4,2,1,2,3,3,2
00af4562f4a8ee7246d6bf994c8e939386b9835648bb65c9c4e6d12e4802d364,1,4,2,4,3,2,2,5,2,1,1,1,5,2,2,4,1,2,5,2,1,4,3,4,2,4,1,3,8,3,0,2,4,2,4,1,2,1,2,4,4,0,2,4,0,3,2,1,0,2,4,1,2,1,2,0,5,5,3,5,5,2,2,1,2,2,4,4,2,2,2,5,2,3,3,2,3,3,1,4,5,3,2,4,5,0,6,1,2,2,2,2,2,1,3,2,2,0,4,0,3,3,1,2,4,5,2,2,2,1,2,3,4,4,4,3,3,0,6,3,4,0,0,5,5,4,1,1,0,3,2,2,3,4,2,3,3,3,4,3,1,3,1,3,2,2,1,2,0,0,4,0,2,2,2,1,1,4,3,6,0,6,0,2,3,0,2,5,6,0,5,4,3,1,1,3,3,0,1,1,2,6,6,7,5,4,3,5,1,1,3,1,1,0,7,1,1,1,3,3,1,5,1,6,0,4,3,2
00b8fb87e5fed3b131c467d19feb78d8caa60c8c11f950548265b4c1d372b614,0,2,2,1,3,2,2,4,3,2,4,3,2,2,0,3,5,4,3,5,1,1,1,2,4,5,1,3,3,1,5,2,1,1,4,2,3,2,1,7,2,1,1,3,3,6,0,4,3,1,3,2,5,4,1,1,3,2,1,1,0,3,0,0,4,4,4,5,0,2,2,1,4,3,1,5,4,1,1,1,1,0,4,3,1,1,5,2,1,5,2,1,4,4,3,6,1,1,10,3,0,2,4,2,2,1,1,4,3,2,4,1,0,2,4,5,1,4,0,3,2,4,4,3,4,1,2,2,5,3,3,2,5,4,1,2,5,5,3,2,2,2,3,6,0,6,2,3,4,2,4,1,0,4,4,4,1,5,4,2,3,3,4,3,7,4,3,2,2,1,3,2,7,4,4,3,2,1,2,3,5,2,2,1,2,4,2,0,5,5,3,5,3,4,1,1,4,2,3,2,1,1,1,2,6,2,1,4
00b9f7e07165d34c9856187ddc1c9cc8384850857f74b0581a31a6a34e66c61d,1,0,2,3,3,2,1,4,3,4,1,8,2,3,1,2,1,6,0,2,1,4,0,2,2,4,2,2,0,2,1,1,2,1,1,4,3,1,4,4,4,2,1,3,7,4,1,4,3,5,4,4,3,1,1,3,0,1,6,1,1,3,4,2,3,1,5,2,1,2,4,1,2,0,3,1,1,2,4,3,3,4,3,1,1,5,2,4,4,2,3,0,4,3,0,3,2,4,1,1,2,1,3,2,1,1,2,4,2,3,0,2,1,1,3,4,1,0,0,7,2,4,2,1,4,3,3,2,2,1,4,1,1,1,4,1,5,4,4,4,1,1,1,3,3,4,1,4,2,0,2,4,3,2,2,2,4,1,1,4,2,2,1,3,0,2,2,1,4,3,1,5,1,7,2,3,3,0,1,3,3,3,1,1,2,3,1,2,3,1,3,1,3,1,0,4,3,3,2,1,4,2,3,3,6,0,3,4
00bd2248e320f01374061c0fba931f7e8c0011d954dbf790764829f6a340555c,0,6,2,1,4,3,0,3,3,0,1,3,2,4,5,1,1,2,4,0,4,2,1,1,4,3,4,4,3,2,3,1,2,2,6,3,4,9,2,2,4,5,1,2,1,3,3,3,1,1,2,4,0,1,3,0,3,1,2,5,1,1,1,4,2,1,2,2,3,0,1,3,0,2,4,1,0,3,1,2,5,0,3,1,2,1,4,1,3,1,0,2,2,2,3,4,2,2,6,0,0,0,1,0,2,1,2,2,1,2,4,0,2,1,1,2,3,3,1,1,2,1,4,2,6,3,2,3,2,2,3,5,4,1,1,4,4,3,3,0,1,4,5,1,4,5,0,2,1,1,3,3,4,5,4,3,3,2,2,3,2,6,2,2,5,0,2,1,4,2,2,2,3,1,2,3,1,1,3,4,0,3,2,3,7,2,3,6,3,2,3,2,1,3,2,2,4,2,4,3,0,1,1,2,6,0,3,1
00c2fb1c6fea3b73deb7eae26590de5137b56268c03c87977e4e7ba2a332bb71,2,0,4,2,2,1,4,2,2,2,3,2,3,2,3,6,2,6,2,2,4,4,1,2,2,2,1,2,6,3,7,0,5,3,2,2,4,3,6,4,4,3,3,3,2,2,2,4,1,0,3,2,3,4,1,2,5,3,2,1,0,5,2,2,5,3,2,4,3,1,1,6,3,3,1,2,3,4,2,2,1,3,3,0,5,2,3,2,3,6,1,2,3,1,1,1,2,0,2,2,2,5,3,1,2,4,0,1,3,5,2,3,4,1,1,3,3,0,2,5,3,2,5,3,5,5,2,5,3,1,6,1,3,2,1,2,4,3,0,1,5,0,5,4,1,1,3,3,3,2,1,4,3,3,2,2,3,0,2,2,1,0,5,1,1,3,1,2,2,2,3,2,1,5,2,2,2,2,2,3,2,2,1,3,3,2,5,3,1,3,4,1,2,3,5,4,2,1,5,1,4,1,3,1,5,6,0,2
